Timestamp,Available,,User._avg (%),Idle._avg (%)
1633501200,75.135,,11.665,86.8
1633501500,81.47,,8.49,89.96
1633501800,83.845,,7.405,91.25
1633502100,81.15,,8.635,89.785
1633502400,85.71,,6.39,92.1
1633502700,82.295,,8.09,90.385
1633503000,83.97,,7.315,91.285
1633503300,83.33,,7.605,90.935
1633503600,83.47,,7.545,91.015
1633503900,79.885,,9.22,89.105
1633504200,85.5,,6.59,92.09
1633504500,81.845,,8.325,90.17
1633504800,82.68,,7.955,90.635
1633505100,84.01,,7.285,91.295
1633505400,83.44,,7.57,91.01
1633505700,81.8,,8.36,90.16
1633506000,86.375,,6.145,92.52
1633506300,83.76,,7.375,91.135
1633506600,82.545,,7.985,90.53
1633506900,83.325,,7.595,90.92
1633507200,83.8,,7.375,91.175
1633507500,81.225,,8.59,89.815
1633507800,84.925,,6.83,91.755
1633508100,81.575,,8.455,90.03
1633508400,78.575,,9.935,88.51
1633508700,82.11,,8.165,90.275
1633509000,83.09,,7.695,90.785
1633509300,81.205,,8.58,89.785
1633509600,84.965,,6.795,91.76
1633509900,83.145,,7.675,90.82
1633510200,82.88,,7.805,90.685
1633510500,82.93,,7.785,90.715
1633510800,83.505,,7.5,91.005
1633511100,81.03,,8.695,89.725
1633511400,85.565,,6.545,92.11
1633511700,81.88,,8.305,90.185
1633512000,81.885,,8.305,90.19
1633512300,83.13,,7.675,90.805
1633512600,83.94,,7.305,91.245
1633512900,81.475,,8.47,89.945
1633513200,85.55,,6.54,92.09
1633513500,75.115,,11.3,86.415
1633513800,82.53,,7.97,90.5
1633514100,82.015,,8.18,90.195
1633514400,83.23,,7.635,90.865
1633514700,79.815,,9.16,88.975
1633515000,84.81,,6.885,91.695
1633515300,78.705,,9.785,88.49
1633515600,78.59,,9.805,88.395
1633515900,81.27,,8.555,89.825
1633516200,80.69,,8.83,89.52
1633516500,79.98,,9.145,89.125
1633516800,83.765,,7.34,91.105
1633517100,82.11,,8.145,90.255
1633517400,81.595,,8.41,90.005
1633517700,81.915,,8.2,90.115
1633518000,80.07,,9.08,89.15
1633518300,79.73,,9.215,88.945
1633518600,83.735,,7.335,91.07
1633518900,79.82,,9.245,89.065
1633519200,80.775,,8.765,89.54
1633519500,81.725,,8.305,90.03
1633519800,79.655,,9.285,88.94
1633520100,80.305,,8.98,89.285
1633520400,84.085,,7.155,91.24
1633520700,82.5,,7.895,90.395
1633521000,81.925,,8.21,90.135
1633521300,82.575,,7.88,90.455
1633521600,82.765,,7.81,90.575
1633521900,76.51,,10.645,87.155
1633522200,77.31,,10.56,87.87
1633522500,77.1,,10.545,87.645
1633522800,80.52,,8.865,89.385
1633523100,79.635,,9.315,88.95
1633523400,82.36,,8.02,90.38
1633523700,80.92,,8.715,89.635
1633524000,85.61,,6.47,92.08
1633524300,74.165,,11.99,86.155
1633524600,81.87,,8.22,90.09
1633524900,79.84,,9.215,89.055
1633525200,78.355,,9.95,88.305
1633525500,79.78,,9.215,88.995
1633525800,83.17,,7.58,90.75
1633526100,76.22,,10.925,87.145
1633526400,78.265,,9.07,87.335
1633526700,79.36,,8.625,87.985
1633527000,80.48,,8.905,89.385
1633527300,80.245,,8.97,89.215
1633527600,83.875,,7.29,91.165
1633527900,83.08,,7.66,90.74
1633528200,82.425,,7.98,90.405
1633528500,83.93,,7.255,91.185
1633528800,81.99,,8.045,90.035
1633529100,81.74,,8.295,90.035
1633529400,83.825,,7.29,91.115
1633529700,82.01,,8.175,90.185
